Date	Plot	Block	Mod	Strate	CMIC	DryW_MiOr	WetW_MiOr	Biommic	BactADN_m2	FungiADN_m2	Ratio16S18S
Year2	A16	B3	RR-PER	0-20	84287	168574	842871	10515	4,09386E+15	1,02399E+14	39,98
Year2	A17	B3	RT-RR	0-20	66544	133088	665440	17535	7,59363E+15	1,64099E+14	46,27
Year2	A18	B3	RT	0-20	63317	126635	633173	18713	4,76088E+15	2,00745E+14	23,72
Year2	A20	B4	RT	0-20	68150	136300	681502	11701	1,85891E+15	4,61552E+13	40,28
Year2	A21	B4	RR-PER	0-20	84004	168009	840044	10692	1,38307E+15	4,25488E+13	32,51
Year2	A22	B4	CONV	0-20	63442	126884	634420	10368	2,40793E+15	5,49665E+13	43,81
Year2	A23	B4	RT-RR	0-20	66603	133206	666031	9791	2,30937E+15	4,85492E+13	47,57
Year2	A24	B4	RN	0-20	66233	132465	662327	11631	1,58705E+15	3,89126E+13	40,78
Year4	A01	B1	RN	0-20	73689	147378	736888	10249	8,1921E+15	4,6977E+13	174,39
Year4	A02	B1	RT	0-20	77907	155815	779073	12299	4,75363E+15	2,09567E+14	22,68
Year4	A03	B1	CONV	0-20	77231	154461	772307	8969	2,18149E+15	4,25687E+13	51,25
Year4	A05	B1	RR-PER	0-20	92393	184785	923927	9864	1,98143E+15	1,24556E+13	159,08
Year4	A06	B1	RT-RR	0-20	81942	163884	819418	10437	3,89576E+15	5,00087E+13	77,90
Year4	A07	B2	RT-RR	0-20	80108	160216	801081	13927	1,1362E+16	7,09123E+13	160,23
Year4	A08	B2	RR-PER	0-20	97631	195262	976308	12583	6,24888E+15	8,1634E+13	76,55
Year4	A09	B2	RN	0-20	69599	139198	695991	11499	2,21224E+15	3,00617E+13	73,59
Year4	A10	B2	RT	0-20	76409	152818	764090	13973	4,60385E+15	1,12555E+14	40,90
Year4	A12	B2	CONV	0-20	62805	125611	628055	10010	7,19853E+15	4,159E+13	173,08
Year4	A13	B3	CONV	0-20	71578	143156	715779	10774	6,45115E+15	3,98432E+13	161,91
Year4	A14	B3	RN	0-20	78661	157322	786612	15616	7,80475E+15	9,15653E+13	85,24
Year4	A16	B3	RR-PER	0-20	101254	202508	1012542	14785	7,12368E+15	5,80651E+13	122,68
Year4	A17	B3	RT-RR	0-20	81852	163704	818521	10811	3,10911E+15	8,06834E+13	38,53
Year4	A18	B3	RT	0-20	76396	152791	763956	9727	9,80738E+15	1,05711E+14	92,78
Year4	A20	B4	RT	0-20	75226	150452	752262	11569	2,69716E+15	8,69336E+13	31,03
Year4	A21	B4	RR-PER	0-20	88790	177579	887897	10126	1,15193E+16	3,43602E+13	335,25
Year4	A22	B4	CONV	0-20	78528	157056	785280	12359	3,87232E+15	9,91783E+13	39,04
Year4	A23	B4	RT-RR	0-20	81287	162573	812866	10740	4,90746E+15	1,05401E+14	46,56
Year4	A24	B4	RN	0-20	77120	154240	771202	7876	3,49689E+15	3,67611E+13	95,12
